country,country_code,year,digital_mobile_hrs,digital_desktop_hrs,digital_other_hrs,digital_total_hrs,digital_total_min,digital_mobile_min,digital_desktop_min
United States,USA,2008,0.3,2.2,0.2,2.7,162.0,18.0,132.0
United States,USA,2009,0.3,2.3,0.3,2.8999999999999995,174.0,18.0,138.0
United States,USA,2010,0.4,2.4,0.4,3.1999999999999997,192.0,24.0,144.0
United States,USA,2011,0.8,2.6,0.3,3.7,222.0,48.0,156.0
United States,USA,2012,1.6,2.5,0.3,4.3999999999999995,264.0,96.0,150.0
United States,USA,2013,2.3,2.3,0.3,4.8999999999999995,294.0,138.0,138.0
United States,USA,2014,2.6,2.2,0.3,5.1000000000000005,306.0,156.0,132.0
United States,USA,2015,2.8,2.2,0.4,5.4,324.0,168.0,132.0
United States,USA,2016,3.1,2.2,0.4,5.700000000000001,342.0,186.0,132.0
United States,USA,2017,3.3,2.1,0.6,6.0,360.0,198.0,126.0
United States,USA,2018,3.6,2.0,0.7,6.3,378.0,216.0,120.0
