year,Facebook,Instagram,Snapchat,TikTok,X (Twitter),YouTube
2012,1056.0,30.0,,,185.0,800.0
2013,1230.0,90.0,,,241.0,1000.0
2014,1393.0,200.0,100.0,,288.0,1000.0
2015,1591.0,400.0,200.0,,320.0,1500.0
2016,1860.0,600.0,301.0,,319.0,1500.0
2017,2129.0,800.0,187.0,,330.0,1500.0
2018,2320.0,1000.0,190.0,271.0,336.0,1900.0
2019,2498.0,1082.0,218.0,508.0,339.0,2000.0
2020,2797.0,1221.0,265.0,689.0,353.0,2291.0
2021,2912.0,1393.0,319.0,1000.0,436.0,2562.0
2022,2963.0,1628.0,375.0,1400.0,450.0,2700.0
2023,3049.0,1740.0,397.0,1562.0,541.0,2700.0
2024,3070.0,1910.0,443.0,1990.0,557.0,2580.0
