year,country,social_media_min_day,social_media_hrs_day,source,population,region
2024,Brazil,229,3.82,GWI Q3 2024 via DataReportal,Internet users 16-64,Amérique Latine
2024,Kenya,223,3.72,GWI Q3 2024 via DataReportal,Internet users 16-64,Afrique
2024,South Africa,221,3.68,GWI Q3 2024 via DataReportal,Internet users 16-64,Afrique
2024,Philippines,214,3.57,GWI Q3 2024 via DataReportal,Internet users 16-64,Asie
2024,Mexico,185,3.08,GWI Q3 2024 via DataReportal,Internet users 16-64,Amérique Latine
2024,India,182,3.03,GWI Q3 2024 via DataReportal,Internet users 16-64,Asie
2024,United States,129,2.15,GWI Q3 2024 via DataReportal,Internet users 16-64,Amérique du Nord
2024,Australia,111,1.85,GWI Q3 2024 via DataReportal,Internet users 16-64,Océanie
2024,France,105,1.75,GWI Q3 2024 via DataReportal,Internet users 16-64,Europe
2024,United Kingdom,97,1.62,GWI Q3 2024 via DataReportal,Internet users 16-64,Europe
2024,Germany,85,1.42,GWI Q3 2024 via DataReportal,Internet users 16-64,Europe
2024,South Korea,66,1.1,GWI Q3 2024 via DataReportal,Internet users 16-64,Asie
2024,Japan,46,0.77,GWI Q3 2024 via DataReportal,Internet users 16-64,Asie
